reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-14-2021-02-20;09;476;70.7;218;45.8;18;3.8;23;4.8;217;45.6
84;2021-02-14-2021-02-20;19;1351;65.4;652;48.3;46;3.4;54;4;599;44.3
84;2021-02-14-2021-02-20;29;1476;63.1;637;43.2;52;3.5;75;5.1;712;48.2
84;2021-02-14-2021-02-20;39;1584;63.6;722;45.6;49;3.1;71;4.5;742;46.8
84;2021-02-14-2021-02-20;49;1562;63.8;671;43;49;3.1;75;4.8;767;49.1
84;2021-02-14-2021-02-20;59;1552;64.6;627;40.4;62;4;72;4.6;791;51
84;2021-02-14-2021-02-20;69;1008;64.5;343;34;23;2.3;52;5.2;590;58.5
84;2021-02-14-2021-02-20;79;774;65;258;33.3;13;1.7;40;5.2;463;59.8
84;2021-02-14-2021-02-20;89;576;63;149;25.9;9;1.6;32;5.6;386;67
84;2021-02-14-2021-02-20;90;301;63.1;73;24.3;1;0.3;30;10;197;65.4
84;2021-02-15-2021-02-21;09;476;70.5;220;46.2;19;4;23;4.8;214;45
84;2021-02-15-2021-02-21;19;1358;65.5;660;48.6;47;3.5;55;4.1;596;43.9
84;2021-02-15-2021-02-21;29;1479;63;637;43.1;52;3.5;74;5;716;48.4
84;2021-02-15-2021-02-21;39;1583;63.4;718;45.4;49;3.1;73;4.6;743;46.9
84;2021-02-15-2021-02-21;49;1570;64;672;42.8;53;3.4;76;4.8;769;49
84;2021-02-15-2021-02-21;59;1560;64.9;639;41;62;4;72;4.6;787;50.4
84;2021-02-15-2021-02-21;69;1012;65;348;34.4;25;2.5;52;5.1;587;58
84;2021-02-15-2021-02-21;79;787;65.2;263;33.4;13;1.7;42;5.3;469;59.6
84;2021-02-15-2021-02-21;89;586;64;150;25.6;9;1.5;30;5.1;397;67.7
84;2021-02-15-2021-02-21;90;308;64.7;74;24;2;0.6;32;10.4;200;64.9
84;2021-02-16-2021-02-22;09;485;70.6;238;49.1;19;3.9;29;6;199;41
84;2021-02-16-2021-02-22;19;1459;66.8;752;51.5;45;3.1;70;4.8;592;40.6
84;2021-02-16-2021-02-22;29;1497;63.2;699;46.7;52;3.5;71;4.7;675;45.1
84;2021-02-16-2021-02-22;39;1656;64.5;770;46.5;53;3.2;72;4.3;761;46
84;2021-02-16-2021-02-22;49;1558;63.9;701;45;58;3.7;82;5.3;717;46
84;2021-02-16-2021-02-22;59;1604;66.8;683;42.6;66;4.1;76;4.7;779;48.6
84;2021-02-16-2021-02-22;69;1051;65;396;37.7;26;2.5;51;4.9;578;55
84;2021-02-16-2021-02-22;79;770;64.1;270;35.1;13;1.7;42;5.5;445;57.8
84;2021-02-16-2021-02-22;89;576;65.8;159;27.6;9;1.6;28;4.9;380;66
84;2021-02-16-2021-02-22;90;295;64;80;27.1;4;1.4;25;8.5;186;63.1
84;2021-02-17-2021-02-23;09;515;70.9;267;51.8;18;3.5;30;5.8;200;38.8
84;2021-02-17-2021-02-23;19;1542;68;812;52.7;52;3.4;77;5;601;39
84;2021-02-17-2021-02-23;29;1532;63.5;741;48.4;53;3.5;83;5.4;655;42.8
84;2021-02-17-2021-02-23;39;1701;65.4;820;48.2;60;3.5;77;4.5;744;43.7
84;2021-02-17-2021-02-23;49;1587;63.8;755;47.6;57;3.6;83;5.2;692;43.6
84;2021-02-17-2021-02-23;59;1604;67.8;722;45;63;3.9;80;5;739;46.1
84;2021-02-17-2021-02-23;69;1080;65.8;451;41.8;32;3;52;4.8;545;50.5
84;2021-02-17-2021-02-23;79;785;63.7;286;36.4;13;1.7;48;6.1;438;55.8
84;2021-02-17-2021-02-23;89;579;67.1;164;28.3;8;1.4;32;5.5;375;64.8
84;2021-02-17-2021-02-23;90;291;65.1;72;24.7;5;1.7;25;8.6;189;64.9
84;2021-02-18-2021-02-24;09;550;71.9;297;54;16;2.9;27;4.9;210;38.2
84;2021-02-18-2021-02-24;19;1642;68.6;846;51.5;55;3.3;87;5.3;654;39.8
84;2021-02-18-2021-02-24;29;1590;63.3;793;49.9;52;3.3;104;6.5;641;40.3
84;2021-02-18-2021-02-24;39;1728;64.9;836;48.4;68;3.9;82;4.7;742;42.9
84;2021-02-18-2021-02-24;49;1581;63.3;797;50.4;55;3.5;85;5.4;644;40.7
84;2021-02-18-2021-02-24;59;1622;67.6;766;47.2;64;3.9;85;5.2;707;43.6
84;2021-02-18-2021-02-24;69;1081;65.4;486;45;31;2.9;62;5.7;502;46.4
84;2021-02-18-2021-02-24;79;777;63.6;304;39.1;15;1.9;49;6.3;409;52.6
84;2021-02-18-2021-02-24;89;566;66.1;171;30.2;10;1.8;38;6.7;347;61.3
84;2021-02-18-2021-02-24;90;272;62.8;68;25;5;1.8;25;9.2;174;64
84;2021-02-19-2021-02-25;09;553;71.7;308;55.7;20;3.6;30;5.4;195;35.3
84;2021-02-19-2021-02-25;19;1671;69.2;860;51.5;55;3.3;102;6.1;654;39.1
84;2021-02-19-2021-02-25;29;1624;63.7;807;49.7;53;3.3;123;7.6;641;39.5
84;2021-02-19-2021-02-25;39;1745;64.7;862;49.4;64;3.7;102;5.8;717;41.1
84;2021-02-19-2021-02-25;49;1591;63.6;825;51.9;67;4.2;100;6.3;599;37.6
84;2021-02-19-2021-02-25;59;1639;67.1;786;48;70;4.3;105;6.4;678;41.4
84;2021-02-19-2021-02-25;69;1086;65.9;492;45.3;35;3.2;70;6.4;489;45
84;2021-02-19-2021-02-25;79;782;62.3;332;42.5;12;1.5;54;6.9;384;49.1
84;2021-02-19-2021-02-25;89;557;67.1;180;32.3;12;2.2;38;6.8;327;58.7
84;2021-02-19-2021-02-25;90;257;62.8;72;28;4;1.6;24;9.3;157;61.1
84;2021-02-20-2021-02-26;09;572;72.2;341;59.6;19;3.3;29;5.1;183;32
84;2021-02-20-2021-02-26;19;1670;69.5;863;51.7;71;4.3;113;6.8;623;37.3
84;2021-02-20-2021-02-26;29;1630;63.5;832;51;66;4;127;7.8;605;37.1
84;2021-02-20-2021-02-26;39;1684;63.7;866;51.4;62;3.7;98;5.8;658;39.1
84;2021-02-20-2021-02-26;49;1604;64.1;857;53.4;76;4.7;99;6.2;572;35.7
84;2021-02-20-2021-02-26;59;1640;67.2;801;48.8;70;4.3;103;6.3;666;40.6
84;2021-02-20-2021-02-26;69;1069;66.1;510;47.7;34;3.2;68;6.4;457;42.8
84;2021-02-20-2021-02-26;79;758;62.3;334;44.1;15;2;62;8.2;347;45.8
84;2021-02-20-2021-02-26;89;534;66.2;190;35.6;9;1.7;43;8.1;292;54.7
84;2021-02-20-2021-02-26;90;242;63.2;67;27.7;4;1.7;19;7.9;152;62.8
84;2021-02-21-2021-02-27;09;577;72.1;354;61.4;18;3.1;30;5.2;175;30.3
84;2021-02-21-2021-02-27;19;1654;69.8;858;51.9;66;4;117;7.1;613;37.1
84;2021-02-21-2021-02-27;29;1644;63.8;863;52.5;66;4;141;8.6;574;34.9
84;2021-02-21-2021-02-27;39;1644;62.7;851;51.8;60;3.6;99;6;634;38.6
84;2021-02-21-2021-02-27;49;1603;64.4;869;54.2;81;5.1;101;6.3;552;34.4
84;2021-02-21-2021-02-27;59;1628;67;816;50.1;66;4.1;111;6.8;635;39
84;2021-02-21-2021-02-27;69;1063;66.4;517;48.6;36;3.4;70;6.6;440;41.4
84;2021-02-21-2021-02-27;79;764;62.2;343;44.9;17;2.2;64;8.4;340;44.5
84;2021-02-21-2021-02-27;89;526;66.2;194;36.9;9;1.7;43;8.2;280;53.2
84;2021-02-21-2021-02-27;90;237;63;64;27;5;2.1;20;8.4;148;62.4
84;2021-02-22-2021-02-28;09;576;71.8;351;60.9;18;3.1;30;5.2;177;30.7
84;2021-02-22-2021-02-28;19;1651;69.8;856;51.8;64;3.9;117;7.1;614;37.2
84;2021-02-22-2021-02-28;29;1647;63.7;864;52.5;66;4;142;8.6;575;34.9
84;2021-02-22-2021-02-28;39;1650;63.3;859;52.1;58;3.5;98;5.9;635;38.5
84;2021-02-22-2021-02-28;49;1599;64.5;869;54.3;79;4.9;101;6.3;550;34.4
84;2021-02-22-2021-02-28;59;1618;66.8;809;50;67;4.1;111;6.9;631;39
84;2021-02-22-2021-02-28;69;1058;66.3;516;48.8;35;3.3;71;6.7;436;41.2
84;2021-02-22-2021-02-28;79;752;61.9;342;45.5;17;2.3;62;8.2;331;44
84;2021-02-22-2021-02-28;89;517;65.4;196;37.9;11;2.1;43;8.3;267;51.6
84;2021-02-22-2021-02-28;90;239;62.7;66;27.6;4;1.7;23;9.6;146;61.1
84;2021-02-23-2021-03-01;09;572;72.2;348;60.8;21;3.7;33;5.8;170;29.7
84;2021-02-23-2021-03-01;19;1572;70;822;52.3;69;4.4;113;7.2;568;36.1
84;2021-02-23-2021-03-01;29;1691;65.6;911;53.9;65;3.8;163;9.6;552;32.6
84;2021-02-23-2021-03-01;39;1626;65.3;907;55.8;62;3.8;111;6.8;546;33.6
84;2021-02-23-2021-03-01;49;1608;66.6;908;56.5;74;4.6;105;6.5;521;32.4
84;2021-02-23-2021-03-01;59;1573;67;832;52.9;66;4.2;113;7.2;562;35.7
84;2021-02-23-2021-03-01;69;1066;67.9;542;50.8;40;3.8;74;6.9;410;38.5
84;2021-02-23-2021-03-01;79;768;64.2;378;49.2;20;2.6;57;7.4;313;40.8
84;2021-02-23-2021-03-01;89;492;65.3;186;37.8;9;1.8;45;9.1;252;51.2
84;2021-02-23-2021-03-01;90;211;63.6;54;25.6;4;1.9;25;11.8;128;60.7
84;2021-02-24-2021-03-02;09;558;72.6;344;61.6;22;3.9;36;6.5;156;28
84;2021-02-24-2021-03-02;19;1505;69.1;807;53.6;57;3.8;113;7.5;528;35.1
84;2021-02-24-2021-03-02;29;1712;66.3;935;54.6;68;4;186;10.9;523;30.5
84;2021-02-24-2021-03-02;39;1585;65.2;918;57.9;67;4.2;119;7.5;481;30.3
84;2021-02-24-2021-03-02;49;1595;67.6;906;56.8;74;4.6;117;7.3;498;31.2
84;2021-02-24-2021-03-02;59;1540;66.6;837;54.4;62;4;121;7.9;520;33.8
84;2021-02-24-2021-03-02;69;1037;67.5;542;52.3;35;3.4;82;7.9;378;36.5
84;2021-02-24-2021-03-02;79;750;65.1;388;51.7;22;2.9;60;8;280;37.3
84;2021-02-24-2021-03-02;89;483;65.5;180;37.3;11;2.3;45;9.3;247;51.1
84;2021-02-24-2021-03-02;90;183;59.6;56;30.6;4;2.2;22;12;101;55.2
84;2021-02-25-2021-03-03;09;543;72.3;328;60.4;23;4.2;45;8.3;147;27.1
84;2021-02-25-2021-03-03;19;1440;68.4;819;56.9;58;4;105;7.3;458;31.8
84;2021-02-25-2021-03-03;29;1685;66.8;964;57.2;64;3.8;180;10.7;477;28.3
84;2021-02-25-2021-03-03;39;1603;66.5;977;60.9;63;3.9;130;8.1;433;27
84;2021-02-25-2021-03-03;49;1577;68.1;928;58.8;71;4.5;112;7.1;466;29.5
84;2021-02-25-2021-03-03;59;1503;66.3;843;56.1;53;3.5;124;8.3;483;32.1
84;2021-02-25-2021-03-03;69;992;67.7;552;55.6;39;3.9;71;7.2;330;33.3
84;2021-02-25-2021-03-03;79;745;65;400;53.7;26;3.5;54;7.2;265;35.6
84;2021-02-25-2021-03-03;89;456;65.2;181;39.7;11;2.4;42;9.2;222;48.7
84;2021-02-25-2021-03-03;90;173;61.1;60;34.7;5;2.9;21;12.1;87;50.3
84;2021-02-26-2021-03-04;09;555;71.8;347;62.5;23;4.1;46;8.3;139;25
84;2021-02-26-2021-03-04;19;1436;67.6;857;59.7;59;4.1;105;7.3;415;28.9
84;2021-02-26-2021-03-04;29;1664;66.6;1003;60.3;67;4;175;10.5;419;25.2
84;2021-02-26-2021-03-04;39;1603;66.1;1005;62.7;71;4.4;120;7.5;407;25.4
84;2021-02-26-2021-03-04;49;1559;67.5;955;61.3;65;4.2;100;6.4;439;28.2
84;2021-02-26-2021-03-04;59;1461;67;859;58.8;50;3.4;115;7.9;437;29.9
84;2021-02-26-2021-03-04;69;997;67.9;573;57.5;39;3.9;69;6.9;316;31.7
84;2021-02-26-2021-03-04;79;708;65.1;391;55.2;24;3.4;46;6.5;247;34.9
84;2021-02-26-2021-03-04;89;441;64.4;178;40.4;12;2.7;50;11.3;201;45.6
84;2021-02-26-2021-03-04;90;188;63.3;70;37.2;5;2.7;23;12.2;90;47.9
84;2021-02-27-2021-03-05;09;565;70.5;361;63.9;24;4.2;48;8.5;132;23.4
84;2021-02-27-2021-03-05;19;1410;66.9;883;62.6;43;3;108;7.7;376;26.7
84;2021-02-27-2021-03-05;29;1690;67;1057;62.5;58;3.4;173;10.2;402;23.8
84;2021-02-27-2021-03-05;39;1613;65.8;1043;64.7;71;4.4;115;7.1;384;23.8
84;2021-02-27-2021-03-05;49;1523;66.9;970;63.7;58;3.8;92;6;403;26.5
84;2021-02-27-2021-03-05;59;1431;66.5;887;62;47;3.3;102;7.1;395;27.6
84;2021-02-27-2021-03-05;69;969;66.9;572;59;39;4;69;7.1;289;29.8
84;2021-02-27-2021-03-05;79;699;63.7;409;58.5;24;3.4;40;5.7;226;32.3
84;2021-02-27-2021-03-05;89;438;65.2;182;41.6;14;3.2;49;11.2;193;44.1
84;2021-02-27-2021-03-05;90;180;63.4;71;39.4;5;2.8;23;12.8;81;45
84;2021-02-28-2021-03-06;09;557;68.9;353;63.4;26;4.7;49;8.8;129;23.2
84;2021-02-28-2021-03-06;19;1400;66.5;900;64.3;46;3.3;106;7.6;348;24.9
84;2021-02-28-2021-03-06;29;1685;66.4;1061;63;55;3.3;171;10.1;398;23.6
84;2021-02-28-2021-03-06;39;1654;65.9;1099;66.4;71;4.3;116;7;368;22.2
84;2021-02-28-2021-03-06;49;1538;66.5;992;64.5;62;4;95;6.2;389;25.3
84;2021-02-28-2021-03-06;59;1449;66.3;919;63.4;50;3.5;92;6.3;388;26.8
84;2021-02-28-2021-03-06;69;977;66.8;582;59.6;36;3.7;67;6.9;292;29.9
84;2021-02-28-2021-03-06;79;695;63.4;408;58.7;23;3.3;41;5.9;223;32.1
84;2021-02-28-2021-03-06;89;438;64.2;182;41.6;18;4.1;50;11.4;188;42.9
84;2021-02-28-2021-03-06;90;180;64.1;74;41.1;4;2.2;23;12.8;79;43.9
84;2021-03-01-2021-03-07;09;565;69.2;361;63.9;25;4.4;49;8.7;130;23
84;2021-03-01-2021-03-07;19;1402;66.4;901;64.3;46;3.3;106;7.6;349;24.9
84;2021-03-01-2021-03-07;29;1690;66.5;1064;63;56;3.3;172;10.2;398;23.6
84;2021-03-01-2021-03-07;39;1655;65.3;1099;66.4;72;4.4;117;7.1;367;22.2
84;2021-03-01-2021-03-07;49;1541;66.3;996;64.6;61;4;97;6.3;387;25.1
84;2021-03-01-2021-03-07;59;1451;65.9;920;63.4;48;3.3;97;6.7;386;26.6
84;2021-03-01-2021-03-07;69;990;66.6;587;59.3;35;3.5;70;7.1;298;30.1
84;2021-03-01-2021-03-07;79;699;64;409;58.5;23;3.3;42;6;225;32.2
84;2021-03-01-2021-03-07;89;431;63.9;181;42;16;3.7;51;11.8;183;42.5
84;2021-03-01-2021-03-07;90;174;63.7;74;42.5;4;2.3;19;10.9;77;44.3
84;2021-03-02-2021-03-08;09;591;68.6;399;67.5;25;4.2;48;8.1;119;20.1
84;2021-03-02-2021-03-08;19;1416;64.6;955;67.4;46;3.2;111;7.8;304;21.5
84;2021-03-02-2021-03-08;29;1691;65.5;1133;67;57;3.4;160;9.5;341;20.2
84;2021-03-02-2021-03-08;39;1678;64.4;1156;68.9;65;3.9;117;7;340;20.3
84;2021-03-02-2021-03-08;49;1598;67;1079;67.5;62;3.9;99;6.2;358;22.4
84;2021-03-02-2021-03-08;59;1473;65.9;987;67;48;3.3;104;7.1;334;22.7
84;2021-03-02-2021-03-08;69;953;65;589;61.8;38;4;65;6.8;261;27.4
84;2021-03-02-2021-03-08;79;696;63.4;427;61.4;25;3.6;41;5.9;203;29.2
84;2021-03-02-2021-03-08;89;447;64.5;191;42.7;18;4;53;11.9;185;41.4
84;2021-03-02-2021-03-08;90;163;62.2;75;46;3;1.8;16;9.8;69;42.3
84;2021-03-03-2021-03-09;09;620;68;421;67.9;29;4.7;63;10.2;107;17.3
84;2021-03-03-2021-03-09;19;1461;64;988;67.6;57;3.9;121;8.3;295;20.2
84;2021-03-03-2021-03-09;29;1658;63.5;1141;68.8;49;3;150;9;318;19.2
84;2021-03-03-2021-03-09;39;1664;64;1152;69.2;53;3.2;122;7.3;337;20.3
84;2021-03-03-2021-03-09;49;1620;65.9;1107;68.3;68;4.2;112;6.9;333;20.6
84;2021-03-03-2021-03-09;59;1461;64.6;1003;68.7;54;3.7;97;6.6;307;21
84;2021-03-03-2021-03-09;69;974;64.5;615;63.1;40;4.1;61;6.3;258;26.5
84;2021-03-03-2021-03-09;79;669;62.5;411;61.4;23;3.4;37;5.5;198;29.6
84;2021-03-03-2021-03-09;89;421;62.6;188;44.7;16;3.8;52;12.4;165;39.2
84;2021-03-03-2021-03-09;90;167;64;71;42.5;2;1.2;22;13.2;72;43.1
84;2021-03-04-2021-03-10;09;632;66.8;448;70.9;28;4.4;60;9.5;96;15.2
84;2021-03-04-2021-03-10;19;1499;62.3;1049;70;64;4.3;126;8.4;260;17.3
84;2021-03-04-2021-03-10;29;1644;61.1;1164;70.8;50;3;136;8.3;294;17.9
84;2021-03-04-2021-03-10;39;1614;61.3;1145;70.9;51;3.2;111;6.9;307;19
84;2021-03-04-2021-03-10;49;1604;64.2;1117;69.6;72;4.5;111;6.9;304;19
84;2021-03-04-2021-03-10;59;1434;63.8;1010;70.4;63;4.4;100;7;261;18.2
84;2021-03-04-2021-03-10;69;966;63.1;614;63.6;38;3.9;60;6.2;254;26.3
84;2021-03-04-2021-03-10;79;660;61.1;415;62.9;21;3.2;45;6.8;179;27.1
84;2021-03-04-2021-03-10;89;448;63.9;203;45.3;15;3.3;59;13.2;171;38.2
84;2021-03-04-2021-03-10;90;162;61.1;74;45.7;1;0.6;21;13;66;40.7
84;2021-03-05-2021-03-11;09;643;67;459;71.4;29;4.5;66;10.3;89;13.8
84;2021-03-05-2021-03-11;19;1574;63;1137;72.2;68;4.3;116;7.4;253;16.1
84;2021-03-05-2021-03-11;29;1736;61.5;1284;74;44;2.5;134;7.7;274;15.8
84;2021-03-05-2021-03-11;39;1657;62.1;1199;72.4;45;2.7;119;7.2;294;17.7
84;2021-03-05-2021-03-11;49;1677;65.4;1201;71.6;69;4.1;114;6.8;293;17.5
84;2021-03-05-2021-03-11;59;1471;64;1056;71.8;63;4.3;95;6.5;257;17.5
84;2021-03-05-2021-03-11;69;975;62.8;645;66.2;42;4.3;55;5.6;233;23.9
84;2021-03-05-2021-03-11;79;677;61.7;433;64;23;3.4;49;7.2;172;25.4
84;2021-03-05-2021-03-11;89;441;63.6;214;48.5;12;2.7;58;13.2;157;35.6
84;2021-03-05-2021-03-11;90;141;58;66;46.8;1;0.7;19;13.5;55;39
84;2021-03-06-2021-03-12;09;700;67.8;501;71.6;28;4;79;11.3;92;13.1
84;2021-03-06-2021-03-12;19;1724;63;1260;73.1;85;4.9;120;7;259;15
84;2021-03-06-2021-03-12;29;1773;61;1336;75.4;45;2.5;143;8.1;249;14
84;2021-03-06-2021-03-12;39;1676;62.1;1223;73;46;2.7;128;7.6;279;16.6
84;2021-03-06-2021-03-12;49;1722;64.7;1258;73.1;67;3.9;120;7;277;16.1
84;2021-03-06-2021-03-12;59;1480;63.8;1091;73.7;61;4.1;102;6.9;226;15.3
84;2021-03-06-2021-03-12;69;1034;63.7;716;69.2;44;4.3;58;5.6;216;20.9
84;2021-03-06-2021-03-12;79;693;64.4;443;63.9;26;3.8;54;7.8;170;24.5
84;2021-03-06-2021-03-12;89;447;64.3;226;50.6;11;2.5;64;14.3;146;32.7
84;2021-03-06-2021-03-12;90;140;56.2;70;50;2;1.4;17;12.1;51;36.4
84;2021-03-07-2021-03-13;09;729;68.7;524;71.9;29;4;86;11.8;90;12.3
84;2021-03-07-2021-03-13;19;1766;62.8;1299;73.6;87;4.9;128;7.2;252;14.3
84;2021-03-07-2021-03-13;29;1777;61.2;1346;75.7;47;2.6;143;8;241;13.6
84;2021-03-07-2021-03-13;39;1691;61.4;1235;73;49;2.9;137;8.1;270;16
84;2021-03-07-2021-03-13;49;1743;64.2;1290;74;63;3.6;120;6.9;270;15.5
84;2021-03-07-2021-03-13;59;1490;63.2;1101;73.9;62;4.2;110;7.4;217;14.6
84;2021-03-07-2021-03-13;69;1059;63.5;756;71.4;44;4.2;60;5.7;199;18.8
84;2021-03-07-2021-03-13;79;701;64.2;455;64.9;25;3.6;55;7.8;166;23.7
84;2021-03-07-2021-03-13;89;439;63.6;224;51;7;1.6;63;14.4;145;33
84;2021-03-07-2021-03-13;90;137;53.5;70;51.1;2;1.5;17;12.4;48;35
84;2021-03-08-2021-03-14;09;730;68.6;525;71.9;29;4;88;12.1;88;12.1
84;2021-03-08-2021-03-14;19;1769;62.6;1306;73.8;87;4.9;126;7.1;250;14.1
84;2021-03-08-2021-03-14;29;1780;61.1;1346;75.6;46;2.6;149;8.4;239;13.4
84;2021-03-08-2021-03-14;39;1702;61.5;1245;73.1;48;2.8;140;8.2;269;15.8
84;2021-03-08-2021-03-14;49;1746;64.2;1296;74.2;62;3.6;120;6.9;268;15.3
84;2021-03-08-2021-03-14;59;1491;63.3;1109;74.4;62;4.2;104;7;216;14.5
84;2021-03-08-2021-03-14;69;1056;63.2;760;72;44;4.2;57;5.4;195;18.5
84;2021-03-08-2021-03-14;79;702;63.2;459;65.4;25;3.6;54;7.7;164;23.4
84;2021-03-08-2021-03-14;89;446;63.5;232;52;8;1.8;64;14.3;142;31.8
84;2021-03-08-2021-03-14;90;136;52.1;68;50;2;1.5;17;12.5;49;36
84;2021-03-09-2021-03-15;09;784;70.3;566;72.2;30;3.8;98;12.5;90;11.5
84;2021-03-09-2021-03-15;19;2009;63.9;1529;76.1;98;4.9;134;6.7;248;12.3
84;2021-03-09-2021-03-15;29;1850;59.8;1420;76.8;45;2.4;151;8.2;234;12.6
84;2021-03-09-2021-03-15;39;1835;61.7;1385;75.5;59;3.2;140;7.6;251;13.7
84;2021-03-09-2021-03-15;49;1860;63;1417;76.2;74;4;122;6.6;247;13.3
84;2021-03-09-2021-03-15;59;1565;63.1;1195;76.4;63;4;97;6.2;210;13.4
84;2021-03-09-2021-03-15;69;1155;64.5;870;75.3;40;3.5;62;5.4;183;15.8
84;2021-03-09-2021-03-15;79;724;62.8;492;68;25;3.5;64;8.8;143;19.8
84;2021-03-09-2021-03-15;89;422;61.5;233;55.2;9;2.1;60;14.2;120;28.4
84;2021-03-09-2021-03-15;90;140;51.9;70;50;1;0.7;20;14.3;49;35
84;2021-03-10-2021-03-16;09;815;69.4;607;74.5;25;3.1;88;10.8;95;11.7
84;2021-03-10-2021-03-16;19;2170;64.4;1696;78.2;100;4.6;138;6.4;236;10.9
84;2021-03-10-2021-03-16;29;1967;60.8;1550;78.8;51;2.6;139;7.1;227;11.5
84;2021-03-10-2021-03-16;39;1954;62;1516;77.6;61;3.1;146;7.5;231;11.8
84;2021-03-10-2021-03-16;49;1960;63.6;1538;78.5;72;3.7;107;5.5;243;12.4
84;2021-03-10-2021-03-16;59;1688;64.7;1310;77.6;68;4;100;5.9;210;12.4
84;2021-03-10-2021-03-16;69;1206;65.6;922;76.5;40;3.3;63;5.2;181;15
84;2021-03-10-2021-03-16;79;760;63.3;537;70.7;32;4.2;69;9.1;122;16.1
84;2021-03-10-2021-03-16;89;422;61;246;58.3;12;2.8;57;13.5;107;25.4
84;2021-03-10-2021-03-16;90;124;49;70;56.5;1;0.8;17;13.7;36;29
84;2021-03-11-2021-03-17;09;845;69.8;628;74.3;26;3.1;94;11.1;97;11.5
84;2021-03-11-2021-03-17;19;2326;65.9;1830;78.7;103;4.4;150;6.4;243;10.4
84;2021-03-11-2021-03-17;29;2087;62.3;1642;78.7;56;2.7;165;7.9;224;10.7
84;2021-03-11-2021-03-17;39;2077;64.3;1610;77.5;72;3.5;156;7.5;239;11.5
84;2021-03-11-2021-03-17;49;2129;65.2;1694;79.6;74;3.5;119;5.6;242;11.4
84;2021-03-11-2021-03-17;59;1810;65.3;1417;78.3;78;4.3;102;5.6;213;11.8
84;2021-03-11-2021-03-17;69;1261;66.8;961;76.2;42;3.3;75;5.9;183;14.5
84;2021-03-11-2021-03-17;79;760;63.9;541;71.2;31;4.1;67;8.8;121;15.9
84;2021-03-11-2021-03-17;89;404;60.8;252;62.4;13;3.2;52;12.9;87;21.5
84;2021-03-11-2021-03-17;90;122;50.2;68;55.7;1;0.8;20;16.4;33;27
84;2021-03-12-2021-03-18;09;904;68.3;687;76;22;2.4;92;10.2;103;11.4
84;2021-03-12-2021-03-18;19;2419;65.5;1920;79.4;97;4;169;7;233;9.6
84;2021-03-12-2021-03-18;29;2116;61.7;1667;78.8;57;2.7;170;8;222;10.5
84;2021-03-12-2021-03-18;39;2166;63.9;1700;78.5;79;3.6;159;7.3;228;10.5
84;2021-03-12-2021-03-18;49;2178;64.3;1742;80;76;3.5;130;6;230;10.6
84;2021-03-12-2021-03-18;59;1889;65.1;1499;79.4;80;4.2;107;5.7;203;10.7
84;2021-03-12-2021-03-18;69;1361;67.8;1046;76.9;45;3.3;90;6.6;180;13.2
