"reg_name","date","n_hospital_deaths","all_hosp_occupancy","icu_occupancy","general_beds_occupancy","new_hospital_admissions_allage","n_negatives_reg_both_sex","n_positives_reg_both_sex","n_tests_no_variant_dep_7day_allage","n_tests_other_variant_dep_7day","n_tests_sa_brazil_susp_dep_7day","n_tests_uk_susp_dep_7day_allage"
"Grand Est",2020-06-30,5,1126,53,NA,16,5374,25,NA,NA,NA,NA
"Pays de la Loire",2020-06-30,0,157,5,NA,4,2501,48,NA,NA,NA,NA
"Brittany",2020-06-30,0,93,3,NA,1,1758,9,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-06-30,0,82,12,NA,1,3035,10,NA,NA,NA,NA
"Occitanie",2020-06-30,0,73,13,NA,0,4423,26,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-06-30,3,503,27,NA,7,6668,37,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-06-30,1,493,24,NA,38,5064,18,NA,NA,NA,NA
"Corsica",2020-06-30,0,14,1,NA,0,254,0,NA,NA,NA,NA
"Guadeloupe",2020-07-01,0,10,4,NA,1,293,3,NA,NA,NA,NA
"Martinique",2020-07-01,0,14,5,NA,0,240,1,NA,NA,NA,NA
"French Guiana",2020-07-01,1,151,20,NA,32,578,205,NA,NA,NA,NA
"Reunion",2020-07-01,0,17,4,NA,0,760,2,NA,NA,NA,NA
"Mayotte",2020-07-01,0,34,3,NA,3,190,17,NA,NA,NA,NA
"Ile-de-France",2020-07-01,2,3873,286,NA,24,13708,129,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-01,1,416,16,NA,1,1668,13,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-01,3,132,9,NA,4,2138,19,NA,NA,NA,NA
"Normandy",2020-07-01,1,216,6,NA,4,3819,21,NA,NA,NA,NA
"Hauts-de-France",2020-07-01,1,989,69,NA,7,4462,51,NA,NA,NA,NA
"Grand Est",2020-07-01,8,1069,52,NA,13,5721,26,NA,NA,NA,NA
"Pays de la Loire",2020-07-01,1,148,3,NA,2,2844,34,NA,NA,NA,NA
"Brittany",2020-07-01,0,90,3,NA,1,1643,4,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-01,0,77,12,NA,3,3086,22,NA,NA,NA,NA
"Occitanie",2020-07-01,0,69,12,NA,0,4139,24,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-01,0,487,25,NA,8,6103,31,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-01,0,485,24,NA,3,4616,16,NA,NA,NA,NA
"Corsica",2020-07-01,0,14,1,NA,0,239,2,NA,NA,NA,NA
"Guadeloupe",2020-07-02,0,10,4,NA,0,391,1,NA,NA,NA,NA
"Martinique",2020-07-02,0,13,5,NA,0,278,1,NA,NA,NA,NA
"French Guiana",2020-07-02,0,156,25,NA,29,455,184,NA,NA,NA,NA
"Reunion",2020-07-02,0,18,4,NA,1,664,2,NA,NA,NA,NA
"Mayotte",2020-07-02,0,32,3,NA,3,92,8,NA,NA,NA,NA
"Ile-de-France",2020-07-02,5,3746,278,NA,25,12852,133,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-02,0,411,16,NA,1,1539,17,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-02,1,121,7,NA,4,2167,8,NA,NA,NA,NA
"Normandy",2020-07-02,0,221,7,NA,6,3566,20,NA,NA,NA,NA
"Hauts-de-France",2020-07-02,2,980,66,NA,4,5044,63,NA,NA,NA,NA
"Grand Est",2020-07-02,2,1054,52,NA,1,5018,24,NA,NA,NA,NA
"Pays de la Loire",2020-07-02,1,145,2,NA,2,2836,28,NA,NA,NA,NA
"Brittany",2020-07-02,1,84,2,NA,1,1467,2,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-02,1,75,11,NA,1,2891,12,NA,NA,NA,NA
"Occitanie",2020-07-02,0,66,12,NA,1,3612,19,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-02,1,479,25,NA,6,6098,39,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-02,0,478,25,NA,8,4675,22,NA,NA,NA,NA
"Corsica",2020-07-02,0,14,1,NA,0,183,1,NA,NA,NA,NA
"Guadeloupe",2020-07-03,0,10,4,NA,0,380,1,NA,NA,NA,NA
"Martinique",2020-07-03,0,13,5,NA,0,333,1,NA,NA,NA,NA
"French Guiana",2020-07-03,0,153,26,NA,27,774,242,NA,NA,NA,NA
"Reunion",2020-07-03,0,20,3,NA,1,1055,9,NA,NA,NA,NA
"Mayotte",2020-07-03,0,26,4,NA,1,212,14,NA,NA,NA,NA
"Ile-de-France",2020-07-03,6,3676,273,NA,20,13729,196,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-03,0,411,16,NA,2,1517,7,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-03,0,110,5,NA,3,2597,6,NA,NA,NA,NA
"Normandy",2020-07-03,0,219,7,NA,3,3638,24,NA,NA,NA,NA
"Hauts-de-France",2020-07-03,2,975,65,NA,5,6855,60,NA,NA,NA,NA
"Grand Est",2020-07-03,4,1027,51,NA,46,6395,28,NA,NA,NA,NA
"Pays de la Loire",2020-07-03,0,141,3,NA,2,2351,30,NA,NA,NA,NA
"Brittany",2020-07-03,0,81,2,NA,0,1790,8,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-03,1,68,9,NA,1,3033,11,NA,NA,NA,NA
"Occitanie",2020-07-03,0,59,10,NA,2,4979,21,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-03,2,470,24,NA,8,7339,38,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-03,3,472,25,NA,3,5714,32,NA,NA,NA,NA
"Corsica",2020-07-03,0,15,1,NA,1,323,0,NA,NA,NA,NA
"Guadeloupe",2020-07-04,1,10,4,NA,0,48,0,NA,NA,NA,NA
"Martinique",2020-07-04,0,15,6,NA,0,156,1,NA,NA,NA,NA
"French Guiana",2020-07-04,0,144,23,NA,19,620,157,NA,NA,NA,NA
"Reunion",2020-07-04,0,20,3,NA,1,576,2,NA,NA,NA,NA
"Mayotte",2020-07-04,0,26,4,NA,0,39,4,NA,NA,NA,NA
"Ile-de-France",2020-07-04,6,3652,264,NA,8,4898,61,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-04,1,404,16,NA,1,950,2,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-04,0,109,5,NA,4,1468,9,NA,NA,NA,NA
"Normandy",2020-07-04,0,217,7,NA,2,2444,13,NA,NA,NA,NA
"Hauts-de-France",2020-07-04,0,959,64,NA,5,2769,21,NA,NA,NA,NA
"Grand Est",2020-07-04,3,1008,47,NA,1,3457,18,NA,NA,NA,NA
"Pays de la Loire",2020-07-04,0,137,3,NA,0,1163,20,NA,NA,NA,NA
"Brittany",2020-07-04,0,81,2,NA,0,1078,2,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-04,1,69,9,NA,2,1443,7,NA,NA,NA,NA
"Occitanie",2020-07-04,0,59,10,NA,0,1866,5,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-04,0,469,25,NA,3,3507,13,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-04,0,471,24,NA,1,2079,12,NA,NA,NA,NA
"Corsica",2020-07-04,0,13,1,NA,0,160,0,NA,NA,NA,NA
"Guadeloupe",2020-07-05,0,10,4,NA,0,11,0,NA,NA,NA,NA
"Martinique",2020-07-05,0,15,6,NA,0,10,0,NA,NA,NA,NA
"French Guiana",2020-07-05,1,145,26,NA,12,103,51,NA,NA,NA,NA
"Reunion",2020-07-05,0,21,3,NA,3,247,2,NA,NA,NA,NA
"Mayotte",2020-07-05,0,28,4,NA,1,29,0,NA,NA,NA,NA
"Ile-de-France",2020-07-05,0,3652,265,NA,2,1509,22,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-05,0,404,16,NA,1,648,2,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-05,0,109,5,NA,0,471,3,NA,NA,NA,NA
"Normandy",2020-07-05,0,217,7,NA,0,1056,5,NA,NA,NA,NA
"Hauts-de-France",2020-07-05,0,959,64,NA,0,580,1,NA,NA,NA,NA
"Grand Est",2020-07-05,0,1008,47,NA,0,586,3,NA,NA,NA,NA
"Pays de la Loire",2020-07-05,0,137,3,NA,0,398,5,NA,NA,NA,NA
"Brittany",2020-07-05,0,81,2,NA,0,309,0,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-05,0,69,9,NA,0,314,2,NA,NA,NA,NA
"Occitanie",2020-07-05,0,59,10,NA,0,602,3,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-05,1,465,25,NA,2,850,3,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-05,0,471,24,NA,0,569,1,NA,NA,NA,NA
"Corsica",2020-07-05,0,13,1,NA,0,93,0,NA,NA,NA,NA
"Guadeloupe",2020-07-06,0,10,4,NA,0,397,1,NA,NA,NA,NA
"Martinique",2020-07-06,0,15,6,NA,0,329,3,NA,NA,NA,NA
"French Guiana",2020-07-06,3,149,28,NA,26,648,197,NA,NA,NA,NA
"Reunion",2020-07-06,0,22,4,NA,1,1191,0,NA,NA,NA,NA
"Mayotte",2020-07-06,0,22,3,NA,1,175,8,NA,NA,NA,NA
"Ile-de-France",2020-07-06,4,3633,262,NA,31,14646,185,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-06,0,394,16,NA,0,2567,30,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-06,0,109,5,NA,2,2395,9,NA,NA,NA,NA
"Normandy",2020-07-06,0,214,7,NA,2,4218,15,NA,NA,NA,NA
"Hauts-de-France",2020-07-06,4,945,64,NA,7,5966,76,NA,NA,NA,NA
"Grand Est",2020-07-06,1,1008,48,NA,9,5599,26,NA,NA,NA,NA
"Pays de la Loire",2020-07-06,0,135,2,NA,3,2632,25,NA,NA,NA,NA
"Brittany",2020-07-06,0,77,2,NA,0,1617,5,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-06,0,68,9,NA,2,3800,14,NA,NA,NA,NA
"Occitanie",2020-07-06,0,59,10,NA,0,5132,13,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-06,1,463,26,NA,11,7859,32,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-06,0,471,24,NA,3,6267,35,NA,NA,NA,NA
"Corsica",2020-07-06,0,12,1,NA,0,387,1,NA,NA,NA,NA
"Guadeloupe",2020-07-07,0,12,6,NA,0,474,1,NA,NA,NA,NA
"Martinique",2020-07-07,0,15,6,NA,0,331,0,NA,NA,NA,NA
"French Guiana",2020-07-07,1,154,30,NA,24,711,171,NA,NA,NA,NA
"Reunion",2020-07-07,1,21,3,NA,2,1206,3,NA,NA,NA,NA
"Mayotte",2020-07-07,0,17,3,NA,2,181,5,NA,NA,NA,NA
"Ile-de-France",2020-07-07,16,3498,258,NA,56,15782,142,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-07,0,393,16,NA,0,2399,7,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-07,2,105,6,NA,5,2416,14,NA,NA,NA,NA
"Normandy",2020-07-07,0,215,7,NA,3,4067,30,NA,NA,NA,NA
"Hauts-de-France",2020-07-07,13,849,49,NA,7,5773,49,NA,NA,NA,NA
"Grand Est",2020-07-07,0,999,52,NA,10,5318,21,NA,NA,NA,NA
"Pays de la Loire",2020-07-07,1,137,2,NA,5,2903,25,NA,NA,NA,NA
"Brittany",2020-07-07,0,77,2,NA,1,1846,4,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-07,0,63,9,NA,2,3403,13,NA,NA,NA,NA
"Occitanie",2020-07-07,0,58,10,NA,3,4870,16,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-07,0,459,28,NA,4,7618,36,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-07,0,466,23,NA,3,5638,30,NA,NA,NA,NA
"Corsica",2020-07-07,0,12,1,NA,0,282,0,NA,NA,NA,NA
"Guadeloupe",2020-07-08,0,12,5,NA,0,398,0,NA,NA,NA,NA
"Martinique",2020-07-08,1,14,5,NA,0,365,0,NA,NA,NA,NA
"French Guiana",2020-07-08,0,152,30,NA,32,616,173,NA,NA,NA,NA
"Reunion",2020-07-08,0,20,3,NA,0,1199,12,NA,NA,NA,NA
"Mayotte",2020-07-08,0,13,2,NA,0,170,15,NA,NA,NA,NA
"Ile-de-France",2020-07-08,9,3376,251,NA,12,15758,160,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-08,1,378,15,NA,1,2345,7,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-08,0,102,7,NA,4,2637,18,NA,NA,NA,NA
"Normandy",2020-07-08,0,211,8,NA,0,3926,15,NA,NA,NA,NA
"Hauts-de-France",2020-07-08,18,740,43,NA,10,5069,41,NA,NA,NA,NA
"Grand Est",2020-07-08,2,978,51,NA,7,5011,27,NA,NA,NA,NA
"Pays de la Loire",2020-07-08,0,138,4,NA,2,3235,44,NA,NA,NA,NA
"Brittany",2020-07-08,0,78,2,NA,1,2202,14,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-08,0,62,9,NA,1,3497,35,NA,NA,NA,NA
"Occitanie",2020-07-08,0,57,10,NA,0,4336,24,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-08,1,447,31,NA,5,7387,61,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-08,0,464,26,NA,8,5502,52,NA,NA,NA,NA
"Corsica",2020-07-08,0,12,1,NA,0,274,2,NA,NA,NA,NA
"Guadeloupe",2020-07-09,0,12,3,NA,0,441,1,NA,NA,NA,NA
"Martinique",2020-07-09,0,14,5,NA,0,398,1,NA,NA,NA,NA
"French Guiana",2020-07-09,0,154,28,NA,17,652,118,NA,NA,NA,NA
"Reunion",2020-07-09,0,21,3,NA,1,1091,7,NA,NA,NA,NA
"Mayotte",2020-07-09,0,13,2,NA,1,123,7,NA,NA,NA,NA
"Ile-de-France",2020-07-09,5,3340,248,NA,26,16392,200,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-09,1,373,14,NA,0,2146,7,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-09,1,86,6,NA,0,2624,18,NA,NA,NA,NA
"Normandy",2020-07-09,0,212,8,NA,2,4229,22,NA,NA,NA,NA
"Hauts-de-France",2020-07-09,4,716,41,NA,10,5699,65,NA,NA,NA,NA
"Grand Est",2020-07-09,1,950,48,NA,3,6035,38,NA,NA,NA,NA
"Pays de la Loire",2020-07-09,0,137,4,NA,3,3449,35,NA,NA,NA,NA
"Brittany",2020-07-09,0,77,2,NA,2,2288,12,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-09,0,65,9,NA,3,3910,11,NA,NA,NA,NA
"Occitanie",2020-07-09,0,53,10,NA,1,4414,32,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-09,2,438,28,NA,7,7595,51,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-09,0,461,26,NA,3,5889,73,NA,NA,NA,NA
"Corsica",2020-07-09,0,12,1,NA,0,192,1,NA,NA,NA,NA
"Guadeloupe",2020-07-10,0,12,3,NA,0,596,1,NA,NA,NA,NA
"Martinique",2020-07-10,0,14,5,NA,0,521,1,NA,NA,NA,NA
"French Guiana",2020-07-10,1,156,26,NA,20,890,218,NA,NA,NA,NA
"Reunion",2020-07-10,0,20,3,NA,1,1243,4,NA,NA,NA,NA
"Mayotte",2020-07-10,0,13,3,NA,1,137,10,NA,NA,NA,NA
"Ile-de-France",2020-07-10,2,3293,239,NA,25,17322,197,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-10,3,369,15,NA,2,2448,9,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-10,12,86,6,NA,34,3158,14,NA,NA,NA,NA
"Normandy",2020-07-10,1,212,8,NA,18,4289,13,NA,NA,NA,NA
"Hauts-de-France",2020-07-10,1,700,42,NA,5,6163,55,NA,NA,NA,NA
"Grand Est",2020-07-10,1,910,46,NA,7,7636,31,NA,NA,NA,NA
"Pays de la Loire",2020-07-10,0,134,4,NA,3,3310,76,NA,NA,NA,NA
"Brittany",2020-07-10,0,76,2,NA,2,2493,51,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-10,1,61,9,NA,2,4525,23,NA,NA,NA,NA
"Occitanie",2020-07-10,1,47,8,NA,3,5191,24,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-10,2,441,25,NA,8,8594,78,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-10,0,464,26,NA,5,6840,37,NA,NA,NA,NA
"Corsica",2020-07-10,0,12,1,NA,0,364,1,NA,NA,NA,NA
"Guadeloupe",2020-07-11,0,10,4,NA,0,118,2,NA,NA,NA,NA
"Martinique",2020-07-11,0,14,5,NA,0,186,0,NA,NA,NA,NA
"French Guiana",2020-07-11,3,153,23,NA,19,289,68,NA,NA,NA,NA
"Reunion",2020-07-11,0,20,3,NA,2,925,19,NA,NA,NA,NA
"Mayotte",2020-07-11,0,13,3,NA,0,41,2,NA,NA,NA,NA
"Ile-de-France",2020-07-11,2,3287,241,NA,15,6585,75,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-11,0,369,15,NA,0,963,1,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-11,0,90,8,NA,4,1191,11,NA,NA,NA,NA
"Normandy",2020-07-11,0,209,8,NA,0,2271,8,NA,NA,NA,NA
"Hauts-de-France",2020-07-11,1,699,43,NA,6,2957,42,NA,NA,NA,NA
"Grand Est",2020-07-11,0,906,46,NA,2,2524,7,NA,NA,NA,NA
"Pays de la Loire",2020-07-11,0,133,3,NA,2,1972,52,NA,NA,NA,NA
"Brittany",2020-07-11,0,71,2,NA,0,1497,12,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-11,0,62,9,NA,1,1774,4,NA,NA,NA,NA
"Occitanie",2020-07-11,0,48,7,NA,1,2071,7,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-11,0,437,24,NA,3,3737,26,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-11,0,462,25,NA,2,2781,18,NA,NA,NA,NA
"Corsica",2020-07-11,0,12,1,NA,0,181,1,NA,NA,NA,NA
"Guadeloupe",2020-07-12,0,10,4,NA,0,17,2,NA,NA,NA,NA
"Martinique",2020-07-12,0,14,5,NA,0,3,0,NA,NA,NA,NA
"French Guiana",2020-07-12,0,154,26,NA,17,189,33,NA,NA,NA,NA
"Reunion",2020-07-12,0,20,3,NA,0,181,0,NA,NA,NA,NA
"Mayotte",2020-07-12,0,13,3,NA,1,42,7,NA,NA,NA,NA
"Ile-de-France",2020-07-12,0,3286,241,NA,0,1560,15,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-12,0,369,15,NA,0,370,2,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-12,0,90,8,NA,0,480,6,NA,NA,NA,NA
"Normandy",2020-07-12,0,209,7,NA,0,1017,5,NA,NA,NA,NA
"Hauts-de-France",2020-07-12,0,697,43,NA,0,466,8,NA,NA,NA,NA
"Grand Est",2020-07-12,0,902,46,NA,1,645,5,NA,NA,NA,NA
"Pays de la Loire",2020-07-12,0,135,4,NA,2,531,16,NA,NA,NA,NA
"Brittany",2020-07-12,0,72,3,NA,1,402,3,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-12,0,63,9,NA,1,312,1,NA,NA,NA,NA
"Occitanie",2020-07-12,0,47,7,NA,0,570,3,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-12,0,439,23,NA,3,869,6,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-12,1,459,25,NA,0,650,4,NA,NA,NA,NA
"Corsica",2020-07-12,0,12,1,NA,0,61,0,NA,NA,NA,NA
"Guadeloupe",2020-07-13,0,9,4,NA,0,542,2,NA,NA,NA,NA
"Martinique",2020-07-13,0,14,5,NA,0,651,3,NA,NA,NA,NA
"French Guiana",2020-07-13,3,155,24,NA,13,718,135,NA,NA,NA,NA
"Reunion",2020-07-13,0,20,3,NA,0,1873,7,NA,NA,NA,NA
"Mayotte",2020-07-13,0,14,2,NA,1,144,16,NA,NA,NA,NA
"Ile-de-France",2020-07-13,8,3264,235,NA,10,17873,238,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-13,0,368,15,NA,0,1996,6,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-13,1,92,8,NA,5,2575,14,NA,NA,NA,NA
"Normandy",2020-07-13,1,206,7,NA,2,3359,19,NA,NA,NA,NA
"Hauts-de-France",2020-07-13,1,676,47,NA,13,6353,61,NA,NA,NA,NA
"Grand Est",2020-07-13,2,893,45,NA,3,7001,54,NA,NA,NA,NA
"Pays de la Loire",2020-07-13,0,136,4,NA,2,3709,84,NA,NA,NA,NA
"Brittany",2020-07-13,0,72,3,NA,1,3036,55,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-13,1,62,9,NA,0,4705,17,NA,NA,NA,NA
"Occitanie",2020-07-13,0,49,7,NA,3,6537,22,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-13,0,446,24,NA,9,9117,74,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-13,1,453,24,NA,6,8415,62,NA,NA,NA,NA
"Corsica",2020-07-13,0,12,1,NA,0,435,6,NA,NA,NA,NA
"Guadeloupe",2020-07-14,0,9,4,NA,0,38,0,NA,NA,NA,NA
"Martinique",2020-07-14,0,14,5,NA,0,7,0,NA,NA,NA,NA
"French Guiana",2020-07-14,2,150,25,NA,28,206,71,NA,NA,NA,NA
"Reunion",2020-07-14,0,20,2,NA,1,286,1,NA,NA,NA,NA
"Mayotte",2020-07-14,0,13,1,NA,1,31,7,NA,NA,NA,NA
"Ile-de-France",2020-07-14,2,3254,238,NA,7,2779,35,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-14,0,366,15,NA,0,467,1,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-14,0,91,8,NA,0,502,4,NA,NA,NA,NA
"Normandy",2020-07-14,0,204,7,NA,0,1093,7,NA,NA,NA,NA
"Hauts-de-France",2020-07-14,1,665,47,NA,2,766,11,NA,NA,NA,NA
"Grand Est",2020-07-14,1,887,43,NA,5,577,8,NA,NA,NA,NA
"Pays de la Loire",2020-07-14,0,139,4,NA,3,1065,14,NA,NA,NA,NA
"Brittany",2020-07-14,0,74,3,NA,3,743,0,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-14,0,64,9,NA,4,539,4,NA,NA,NA,NA
"Occitanie",2020-07-14,0,49,7,NA,1,797,3,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-14,0,442,23,NA,3,1258,5,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-14,0,454,23,NA,3,914,7,NA,NA,NA,NA
"Corsica",2020-07-14,0,12,1,NA,0,83,5,NA,NA,NA,NA
"Guadeloupe",2020-07-15,0,9,4,NA,0,440,2,NA,NA,NA,NA
"Martinique",2020-07-15,0,14,5,NA,0,530,3,NA,NA,NA,NA
"French Guiana",2020-07-15,2,153,24,NA,26,545,80,NA,NA,NA,NA
"Reunion",2020-07-15,0,22,4,NA,2,1735,11,NA,NA,NA,NA
"Mayotte",2020-07-15,0,10,2,NA,3,378,26,NA,NA,NA,NA
"Ile-de-France",2020-07-15,5,3246,237,NA,36,18252,239,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-15,0,366,14,NA,0,1851,4,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-15,2,89,9,NA,7,3035,13,NA,NA,NA,NA
"Normandy",2020-07-15,0,201,5,NA,1,4192,10,NA,NA,NA,NA
"Hauts-de-France",2020-07-15,7,645,40,NA,9,6173,67,NA,NA,NA,NA
"Grand Est",2020-07-15,3,874,42,NA,9,6007,66,NA,NA,NA,NA
"Pays de la Loire",2020-07-15,0,138,5,NA,2,4319,63,NA,NA,NA,NA
"Brittany",2020-07-15,0,76,3,NA,2,3253,94,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-15,0,64,11,NA,3,4846,29,NA,NA,NA,NA
"Occitanie",2020-07-15,0,47,7,NA,1,6086,22,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-15,1,443,21,NA,11,9047,56,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-15,0,464,23,NA,21,7612,56,NA,NA,NA,NA
"Corsica",2020-07-15,0,12,1,NA,0,361,3,NA,NA,NA,NA
"Guadeloupe",2020-07-16,0,9,3,NA,0,485,1,NA,NA,NA,NA
"Martinique",2020-07-16,0,13,5,NA,0,479,2,NA,NA,NA,NA
"French Guiana",2020-07-16,1,150,25,NA,28,852,155,NA,NA,NA,NA
"Reunion",2020-07-16,0,22,4,NA,0,1292,2,NA,NA,NA,NA
"Mayotte",2020-07-16,0,11,2,NA,1,130,14,NA,NA,NA,NA
"Ile-de-France",2020-07-16,6,3226,238,NA,45,18964,286,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-16,2,323,12,NA,3,2068,8,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-16,0,84,10,NA,3,3167,11,NA,NA,NA,NA
"Normandy",2020-07-16,2,193,5,NA,0,4383,27,NA,NA,NA,NA
"Hauts-de-France",2020-07-16,1,630,40,NA,6,6847,91,NA,NA,NA,NA
"Grand Est",2020-07-16,3,865,39,NA,4,6985,88,NA,NA,NA,NA
"Pays de la Loire",2020-07-16,0,139,5,NA,8,4870,62,NA,NA,NA,NA
"Brittany",2020-07-16,1,72,3,NA,1,4190,55,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-16,1,61,11,NA,4,5176,30,NA,NA,NA,NA
"Occitanie",2020-07-16,0,45,8,NA,1,6054,39,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-07-16,0,438,22,NA,3,8846,61,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-07-16,1,461,23,NA,12,7710,37,NA,NA,NA,NA
"Corsica",2020-07-16,0,12,1,NA,0,336,2,NA,NA,NA,NA
"Guadeloupe",2020-07-17,0,9,3,NA,0,578,4,NA,NA,NA,NA
"Martinique",2020-07-17,0,13,5,NA,0,540,0,NA,NA,NA,NA
"French Guiana",2020-07-17,0,150,25,NA,24,580,94,NA,NA,NA,NA
"Reunion",2020-07-17,0,22,4,NA,0,1762,7,NA,NA,NA,NA
"Mayotte",2020-07-17,0,10,2,NA,1,158,16,NA,NA,NA,NA
"Ile-de-France",2020-07-17,1,3203,235,NA,39,19938,283,NA,NA,NA,NA
"Centre-Val de Loire",2020-07-17,0,310,11,NA,0,2373,13,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-07-17,1,80,7,NA,3,3634,21,NA,NA,NA,NA
"Normandy",2020-07-17,1,190,6,NA,1,5001,22,NA,NA,NA,NA
"Hauts-de-France",2020-07-17,2,615,42,NA,17,7845,79,NA,NA,NA,NA
"Grand Est",2020-07-17,5,846,37,NA,6,7705,86,NA,NA,NA,NA
"Pays de la Loire",2020-07-17,0,136,6,NA,5,5707,108,NA,NA,NA,NA
"Brittany",2020-07-17,1,74,4,NA,5,4728,28,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-07-17,0,59,11,NA,3,6056,45,NA,NA,NA,NA
"Occitanie",2020-07-17,0,42,7,NA,2,7224,38,NA,NA,NA,NA
